TICKER,DATE,Price_Open,Price_Close,Price_High,Price_Low,Volume,Return_1d,MA_5d,MA_10d,Volatility_10d
AAPL,2022-01-18 05:00:00+00:00,171.51,169.8,172.54,169.405,102183802.0,-0.01889408909689716,173.134,173.66500000000002,0.013803214083793543
AAPL,2022-01-19 05:00:00+00:00,170.0,166.23,171.08,165.94,101688620.0,-0.02102473498233226,171.364,172.31799999999998,0.014433307864067147
AAPL,2022-01-20 05:00:00+00:00,166.98,164.51,169.68,164.18,96630645.0,-0.01034710942669792,169.16,171.277,0.012897888945885203
AAPL,2022-01-21 05:00:00+00:00,164.415,162.41,166.33,162.3,135494794.0,-0.012765181447936258,167.204,170.318,0.012593672859897006
AAPL,2022-01-24 05:00:00+00:00,160.02,161.62,162.3,154.7,175317276.0,-0.004864232497998833,164.91400000000002,169.263,0.01238521173494865
AAPL,2022-01-25 05:00:00+00:00,158.98,159.78,162.76,157.02,125389277.0,-0.011384729612671673,162.91,168.022,0.012263376494328479
AAPL,2022-01-26 05:00:00+00:00,163.5,159.69,164.3894,157.82,116338085.0,-0.0005632745024408692,161.602,166.483,0.009344338243880793
AAPL,2022-01-27 05:00:00+00:00,162.45,159.22,163.84,158.28,127009128.0,-0.0029432024547560998,160.544,164.852,0.008719781556412981
AAPL,2022-01-28 05:00:00+00:00,165.71,170.33,170.35,162.8,189144340.0,0.0697776661223466,162.128,164.666,0.026077010272938506
AAPL,2022-01-31 05:00:00+00:00,170.16,174.78,175.0,169.51,129780591.0,0.026125755885633595,164.76,164.83700000000002,0.02741768234647352
AAPL,2022-02-01 05:00:00+00:00,174.01,174.61,174.84,172.31,93258667.0,-0.000972651333104424,167.72600000000003,165.318,0.02652125096613195
AAPL,2022-02-02 05:00:00+00:00,174.745,175.84,175.88,173.33,91306986.0,0.007044270087623872,170.956,166.27900000000002,0.025132854235957985
AAPL,2022-02-03 05:00:00+00:00,174.48,172.9,176.2399,172.12,101382628.0,-0.01671974522292996,173.692,167.118,0.025666024428102948
AAPL,2022-02-04 05:00:00+00:00,171.68,172.39,174.1,170.68,88456689.0,-0.0029496818970504712,174.10399999999998,168.116,0.025080528561781692
AAPL,2022-02-07 05:00:00+00:00,172.86,171.66,173.9458,170.95,83181695.0,-0.004234584372643346,173.48000000000002,169.11999999999998,0.025050284091871156
AAPL,2022-02-08 05:00:00+00:00,171.73,174.83,175.35,171.43,80979959.0,0.01846673657229414,173.52399999999997,170.625,0.024478439078567907
AAPL,2022-02-09 05:00:00+00:00,176.05,176.28,176.65,174.9,78287149.0,0.008293771091917757,173.61200000000002,172.28400000000002,0.024240860772971256
AAPL,2022-02-10 05:00:00+00:00,174.14,172.12,175.48,171.55,99694816.0,-0.02359882005899705,173.45600000000002,173.574,0.026278558407578815
AAPL,2022-02-11 05:00:00+00:00,172.33,168.64,173.08,168.04,106268657.0,-0.020218452242621532,172.70600000000002,173.405,0.016354144965433956
AAPL,2022-02-14 05:00:00+00:00,167.37,168.88,169.58,166.56,98885501.0,0.0014231499051233776,172.15,172.815,0.013425825478354384
AAPL,2022-02-15 05:00:00+00:00,170.97,172.79,172.95,170.25,71066887.0,0.023152534343912734,171.74200000000002,172.63299999999998,0.01584873347316431
AAPL,2022-02-16 05:00:00+00:00,171.85,172.55,173.34,170.05,66147855.0,-0.0013889692690548516,170.996,172.304,0.015599437451019963
